Country or Area,Subgroup,Year,Source,Unit,Value,Value Footnotes
Afghanistan,Female,2004,UNESCO_UIS Database_Sep2007,Number,5637,
Afghanistan,Female,2003,UNESCO_UIS Database_Sep2007,Number,5344,1
Afghanistan,Male,2004,UNESCO_UIS Database_Sep2007,Number,22011,
Afghanistan,Male,2003,UNESCO_UIS Database_Sep2007,Number,20867,
Albania,Female,2004,UNESCO_UIS Database_Sep2007,Number,32897,
Albania,Female,2003,UNESCO_UIS Database_Sep2007,Number,27180,
Albania,Female,2002,UNESCO_UIS Database_Sep2007,Number,26124,
Albania,Female,2001,UNESCO_UIS Database_Sep2007,Number,25069,
Albania,Female,2000,UNESCO_UIS Database_Sep2007,Number,24017,
Albania,Female,1999,UNESCO_UIS Database_Sep2007,Number,23032,
Albania,Male,2004,UNESCO_UIS Database_Sep2007,Number,20117,
Albania,Male,2003,UNESCO_UIS Database_Sep2007,Number,16420,
Albania,Male,2002,UNESCO_UIS Database_Sep2007,Number,16036,
Albania,Male,2001,UNESCO_UIS Database_Sep2007,Number,15790,
Albania,Male,2000,UNESCO_UIS Database_Sep2007,Number,16108,
Albania,Male,1999,UNESCO_UIS Database_Sep2007,Number,15470,
Algeria,Female,2005,UNESCO_UIS Database_Sep2007,Number,429912,
Algeria,Female,2004,UNESCO_UIS Database_Sep2007,Number,365409,
Algeria,Male,2005,UNESCO_UIS Database_Sep2007,Number,325551,
Algeria,Male,2004,UNESCO_UIS Database_Sep2007,Number,351043,
Andorra,Female,2005,UNESCO_UIS Database_Sep2007,Number,174,
Andorra,Female,2004,UNESCO_UIS Database_Sep2007,Number,161,
Andorra,Female,2003,UNESCO_UIS Database_Sep2007,Number,149,
Andorra,Female,2002,UNESCO_UIS Database_Sep2007,Number,133,
Andorra,Male,2005,UNESCO_UIS Database_Sep2007,Number,168,
Andorra,Male,2004,UNESCO_UIS Database_Sep2007,Number,170,
Andorra,Male,2003,UNESCO_UIS Database_Sep2007,Number,157,
Andorra,Male,2002,UNESCO_UIS Database_Sep2007,Number,134,
Angola,Female,2002,UNESCO_UIS Database_Sep2007,Number,5009,2
Angola,Female,1999,UNESCO_UIS Database_Sep2007,Number,3060,
Angola,Male,2002,UNESCO_UIS Database_Sep2007,Number,7557,3
Angola,Male,1999,UNESCO_UIS Database_Sep2007,Number,4785,
Anguilla,Female,2005,UNESCO_UIS Database_Sep2007,Number,25,
Anguilla,Female,2004,UNESCO_UIS Database_Sep2007,Number,17,
