reference_area,time_period,observation_value
Afghanistan,1993,46.03131
Afghanistan,2007,83.34385999999999
Afghanistan,2013,145.84005
Afghanistan,2014,145.49817000000002
Albania,2000,201.10971
Albania,2001,206.25263
Albania,2013,252.05833
Albania,2014,255.79070000000002
Algeria,1984,116.0574
Algeria,1995,156.61946
Algeria,1996,158.15549
Algeria,1997,157.77928
Angola,1982,17.43802
Angola,2008,30.38999
Angola,2009,31.82336
Angola,2010,37.13288
Antigua and Barbuda,2000,207.6677
Antigua and Barbuda,2009,86.49334
Antigua and Barbuda,2010,85.54702
Antigua and Barbuda,2012,90.92281
Antigua and Barbuda,2014,239.23065000000003
Argentina,1975,125.25630000000001
Argentina,1998,223.76690000000002
Argentina,1999,229.88441
Argentina,2000,236.97029
Argentina,2001,238.42300999999998
Argentina,2002,238.14429
Argentina,2003,237.57335999999998
Argentina,2004,238.16984000000002
Argentina,2005,237.05271
Argentina,2006,237.4476
Argentina,2007,237.73435
Argentina,2008,241.19707
Argentina,2009,247.37419
Argentina,2010,252.11705999999998
Argentina,2011,255.79659
Argentina,2012,262.0685
Argentina,2013,264.57919
Armenia,2005,85.59681
Armenia,2006,87.93843
Armenia,2007,271.47916
Armenia,2008,253.34681
Armenia,2009,89.10058
Aruba,1999,233.5149
Aruba,2000,230.44914
Aruba,2001,217.27801999999997
Aruba,2002,230.37119
Aruba,2003,217.04179
Aruba,2004,220.33452
Aruba,2005,225.32825000000003
Aruba,2007,241.54451
Aruba,2008,223.49722
Aruba,2009,233.2429
Aruba,2011,230.96400999999997
Australia,1993,260.5113
Australia,1994,260.5092
Australia,1995,260.99556
Australia,1996,265.93534
Australia,2002,265.10915
Australia,2003,260.01159
Australia,2004,258.96258
Australia,2005,255.02655
Australia,2006,253.27826
Australia,2007,253.47867000000002
Australia,2008,254.62067000000002
Australia,2009,258.06069
Australia,2010,258.81567
Australia,2011,259.30053
Australia,2012,258.45298
Australia,2013,260.5794
Austria,1975,70.26343
Austria,1976,70.62379
Azerbaijan,2006,257.96948
Azerbaijan,2007,256.9609
Azerbaijan,2008,260.36697
Azerbaijan,2009,260.40861
Azerbaijan,2010,257.99415
Azerbaijan,2011,258.11235
Azerbaijan,2012,260.3336
Azerbaijan,2013,262.82966
Azerbaijan,2014,264.04649
Bahamas,1981,90.39679
Bahamas,1984,90.4494
Bahamas,1992,267.44075
Bahamas,1993,268.21475
Bahamas,1994,85.76726
Bahamas,1999,212.51376
Bahamas,2004,238.85696000000002
Bahamas,2005,248.71103
Bahamas,2006,254.77239000000003
Bahamas,2007,261.88458
Bahamas,2008,258.42843
Bahamas,2009,252.08676
Bahamas,2010,248.11276
Bahrain,1977,133.41898
Bahrain,1978,141.81443
Bahrain,1979,152.28778
Bahrain,1982,176.19971
