Country or Area,Subgroup,Year,Value,Value Footnotes
Albania,Female,2004,82.0,No footnotes
Albania,Female,2003,77.0,No footnotes
Albania,Female,2001,78.0,No footnotes
Albania,Female,2000,76.0,No footnotes
Algeria,Female,2004,70.0,No footnotes
Andorra,Female,2005,83.0,No footnotes
Andorra,Female,2004,83.0,No footnotes
Angola,Female,1999,43.0,No footnotes
Anguilla,Female,2005,81.0,No footnotes
Anguilla,Female,2003,100.0,No footnotes
Argentina,Female,2004,17.0,No footnotes
Argentina,Female,2003,21.0,No footnotes
Argentina,Female,2002,78.0,No footnotes
Argentina,Female,2001,78.0,No footnotes
Armenia,Female,2005,76.0,No footnotes
Armenia,Female,2004,76.0,No footnotes
Armenia,Female,2003,74.0,No footnotes
Armenia,Female,2001,80.0,No footnotes
Aruba,Female,2004,89.0,No footnotes
Aruba,Female,2003,92.0,No footnotes
Aruba,Female,2002,87.0,No footnotes
Aruba,Female,2001,88.0,No footnotes
Aruba,Female,2000,84.0,No footnotes
Australia,Female,2005,74.0,No footnotes
Australia,Female,2004,74.0,No footnotes
Australia,Female,2003,74.0,No footnotes
Australia,Female,2002,74.0,No footnotes
Australia,Female,2001,75.0,No footnotes
Australia,Female,2000,76.0,No footnotes
Australia,Female,1999,75.0,No footnotes
Austria,Female,2005,75.0,No footnotes
Austria,Female,2004,74.0,No footnotes
Austria,Female,2003,75.0,No footnotes
Austria,Female,2000,67.0,No footnotes
Bahrain,Female,2005,57.0,No footnotes
Bahrain,Female,2003,67.0,No footnotes
Bangladesh,Female,2005,36.0,No footnotes
Bangladesh,Female,2004,36.0,No footnotes
Bangladesh,Female,2003,38.0,No footnotes
Bangladesh,Female,2002,36.0,No footnotes
Bangladesh,Female,2001,27.0,No footnotes
Belarus,Female,2005,77.0,No footnotes
Belgium,Female,2005,70.0,No footnotes
Belgium,Female,2004,70.0,No footnotes
Belgium,Female,2003,71.0,No footnotes
Belgium,Female,2002,71.0,No footnotes
Belgium,Female,2001,70.0,No footnotes
Belgium,Female,2000,69.0,No footnotes
Benin,Female,1999,12.0,No footnotes
Botswana,Female,2005,58.0,No footnotes
Botswana,Female,2004,56.0,No footnotes
Botswana,Female,2002,52.0,No footnotes
Botswana,Female,2001,55.0,No footnotes
Brazil,Female,2004,76.0,No footnotes
Brazil,Female,2003,76.0,No footnotes
Brazil,Female,2002,76.0,No footnotes
Brunei,Female,2005,70.0,No footnotes
Brunei,Female,2004,70.0,No footnotes
Brunei,Female,2003,68.0,No footnotes
Brunei,Female,2001,67.0,No footnotes
Brunei,Female,2000,68.0,No footnotes
Brunei,Female,1999,69.0,No footnotes
Bulgaria,Female,2005,66.0,No footnotes
Bulgaria,Female,2004,68.0,No footnotes
Bulgaria,Female,2003,69.0,No footnotes
Bulgaria,Female,2002,71.0,No footnotes
Bulgaria,Female,2001,77.0,No footnotes
Bulgaria,Female,2000,77.0,No footnotes
Bulgaria,Female,1999,79.0,No footnotes
Burundi,Female,2002,33.0,No footnotes
Cambodia,Female,2004,26.0,No footnotes
Cambodia,Female,2002,31.0,No footnotes
Cambodia,Female,2001,32.0,No footnotes
Canada,Female,2002,76.0,No footnotes
Canada,Female,1999,75.0,No footnotes
Chile,Female,2005,70.0,No footnotes
Chile,Female,2004,72.0,No footnotes
Chile,Female,2003,73.0,No footnotes
Chile,Female,2002,69.0,No footnotes
Colombia,Female,2005,69.0,No footnotes
Colombia,Female,2004,63.0,No footnotes
Colombia,Female,2001,64.0,No footnotes
Comoros,Female,2003,53.0,No footnotes
Congo,Female,2002,9.0,No footnotes
Congo,Female,2001,16.0,No footnotes
Costa Rica,Female,2004,73.0,No footnotes
Costa Rica,Female,2002,74.0,No footnotes
Costa Rica,Female,2001,71.0,No footnotes
Croatia,Female,2003,92.0,No footnotes
Croatia,Female,2002,91.0,No footnotes
Croatia,Female,2001,92.0,No footnotes
Croatia,Female,1999,92.0,No footnotes
Cyprus,Female,2005,91.0,No footnotes
Cyprus,Female,2004,88.0,No footnotes
Cyprus,Female,2003,89.0,No footnotes
Cyprus,Female,2002,91.0,No footnotes
Cyprus,Female,2001,91.0,No footnotes
Cyprus,Female,2000,90.0,No footnotes
Cyprus,Female,1999,91.0,No footnotes
Czech Republic,Female,2005,74.0,No footnotes
Czech Republic,Female,2004,74.0,No footnotes
Czech Republic,Female,2003,73.0,No footnotes
Czech Republic,Female,2002,74.0,No footnotes
Czech Republic,Female,2001,72.0,No footnotes
Czech Republic,Female,2000,73.0,No footnotes
Czech Republic,Female,1999,73.0,No footnotes
Denmark,Female,2005,71.0,No footnotes
Denmark,Female,2004,70.0,No footnotes
Denmark,Female,2003,70.0,No footnotes
Denmark,Female,2002,70.0,No footnotes
Denmark,Female,2001,69.0,No footnotes
Denmark,Female,2000,69.0,No footnotes
Denmark,Female,1999,69.0,No footnotes
