Country or Area,Subgroup,Year,Value,Value Footnotes
Afghanistan,Female,2004,5637.0,No footnotes
Afghanistan,Female,2003,5344.0,1.0
Afghanistan,Male,2004,22011.0,No footnotes
Afghanistan,Male,2003,20867.0,No footnotes
Albania,Female,2004,32897.0,No footnotes
Albania,Female,2003,27180.0,No footnotes
Albania,Female,2002,26124.0,No footnotes
Albania,Female,2001,25069.0,No footnotes
Albania,Female,2000,24017.0,No footnotes
Albania,Female,1999,23032.0,No footnotes
Albania,Male,2004,20117.0,No footnotes
Albania,Male,2003,16420.0,No footnotes
Albania,Male,2002,16036.0,No footnotes
Albania,Male,2001,15790.0,No footnotes
Albania,Male,2000,16108.0,No footnotes
Albania,Male,1999,15470.0,No footnotes
Algeria,Female,2005,429912.0,No footnotes
Algeria,Female,2004,365409.0,No footnotes
Algeria,Male,2005,325551.0,No footnotes
Algeria,Male,2004,351043.0,No footnotes
Andorra,Female,2005,174.0,No footnotes
Andorra,Female,2004,161.0,No footnotes
Andorra,Female,2003,149.0,No footnotes
Andorra,Female,2002,133.0,No footnotes
Andorra,Male,2005,168.0,No footnotes
Andorra,Male,2004,170.0,No footnotes
Andorra,Male,2003,157.0,No footnotes
Andorra,Male,2002,134.0,No footnotes
Angola,Female,2002,5009.0,2.0
Angola,Female,1999,3060.0,No footnotes
Angola,Male,2002,7557.0,3.0
Angola,Male,1999,4785.0,No footnotes
Anguilla,Female,2005,25.0,No footnotes
Anguilla,Female,2004,17.0,No footnotes
Anguilla,Female,2003,12.0,No footnotes
Anguilla,Male,2005,8.0,No footnotes
Anguilla,Male,2004,4.0,No footnotes
Anguilla,Male,2003,0.0,No footnotes
Argentina,Female,2004,1234534.0,No footnotes
Argentina,Female,2003,1253534.0,No footnotes
Argentina,Female,2002,1202086.0,No footnotes
Argentina,Female,2001,1136287.0,No footnotes
Argentina,Female,2000,1066341.0,1.0
Argentina,Female,1999,987167.0,No footnotes
Argentina,Male,2004,892579.0,No footnotes
Argentina,Male,2003,847903.0,No footnotes
Argentina,Male,2002,824649.0,No footnotes
Argentina,Male,2001,782421.0,No footnotes
Argentina,Male,2000,700592.0,No footnotes
Argentina,Male,1999,613715.0,No footnotes
Armenia,Female,2005,48060.0,No footnotes
Armenia,Female,2004,44002.0,No footnotes
Armenia,Female,2003,39544.0,No footnotes
Armenia,Female,2002,40516.0,No footnotes
Armenia,Female,2001,37523.0,No footnotes
Armenia,Female,2000,33731.0,No footnotes
Armenia,Female,1999,32883.0,No footnotes
Armenia,Male,2005,38569.0,No footnotes
Armenia,Male,2004,35319.0,No footnotes
Armenia,Male,2003,34059.0,No footnotes
Armenia,Male,2002,34958.0,No footnotes
Armenia,Male,2001,31181.0,No footnotes
Armenia,Male,2000,29063.0,No footnotes
Armenia,Male,1999,27801.0,No footnotes
Aruba,Female,2005,1259.0,No footnotes
Aruba,Female,2004,1026.0,No footnotes
Aruba,Female,2003,992.0,No footnotes
Aruba,Female,2002,962.0,No footnotes
Aruba,Female,2001,986.0,No footnotes
Aruba,Female,2000,957.0,No footnotes
Aruba,Female,1999,780.0,No footnotes
Aruba,Male,2005,847.0,No footnotes
Aruba,Male,2004,678.0,No footnotes
Aruba,Male,2003,680.0,No footnotes
Aruba,Male,2002,630.0,No footnotes
Aruba,Male,2001,642.0,No footnotes
Aruba,Male,2000,621.0,No footnotes
Aruba,Male,1999,666.0,No footnotes
Australia,Female,2005,553069.0,No footnotes
Australia,Female,2004,543347.0,No footnotes
Australia,Female,2003,544603.0,No footnotes
Australia,Female,2002,546544.0,No footnotes
Australia,Female,2001,470652.0,No footnotes
Australia,Female,2000,458538.0,No footnotes
Australia,Female,1999,457686.0,No footnotes
Australia,Male,2005,461991.0,No footnotes
Australia,Male,2004,459651.0,No footnotes
Australia,Male,2003,461374.0,No footnotes
Australia,Male,2002,465666.0,No footnotes
Australia,Male,2001,398037.0,No footnotes
Australia,Male,2000,386594.0,No footnotes
Australia,Male,1999,387950.0,No footnotes
Austria,Female,2005,131144.0,No footnotes
Austria,Female,2004,127206.0,No footnotes
Austria,Female,2003,121778.0,No footnotes
Austria,Female,2002,117881.0,No footnotes
Austria,Female,2001,137222.0,No footnotes
Austria,Female,2000,133122.0,No footnotes
Austria,Female,1999,126534.0,No footnotes
Austria,Male,2005,113266.0,No footnotes
Austria,Male,2004,111316.0,No footnotes
Austria,Male,2003,108024.0,No footnotes
Austria,Male,2002,105854.0,No footnotes
Austria,Male,2001,127447.0,No footnotes
Austria,Male,2000,128107.0,No footnotes
Austria,Male,1999,126359.0,No footnotes
Azerbaijan,Female,2005,60131.0,No footnotes
Azerbaijan,Female,2004,56431.0,No footnotes
Azerbaijan,Female,2003,54117.0,No footnotes
Azerbaijan,Female,2002,53661.0,No footnotes
Azerbaijan,Female,2001,50203.0,No footnotes
Azerbaijan,Female,2000,46884.0,No footnotes
Azerbaijan,Female,1999,42066.0,No footnotes
Azerbaijan,Male,2005,68503.0,No footnotes
Azerbaijan,Male,2004,66339.0,No footnotes
Azerbaijan,Male,2003,67039.0,No footnotes
Azerbaijan,Male,2002,67814.0,No footnotes
Azerbaijan,Male,2001,70490.0,No footnotes
Azerbaijan,Male,2000,70193.0,No footnotes
Azerbaijan,Male,1999,65717.0,No footnotes
Bahrain,Female,2005,12781.0,No footnotes
Bahrain,Female,2004,11684.0,1.0
Bahrain,Female,2003,11810.0,No footnotes
Bahrain,Female,1999,6630.0,1.0
Bahrain,Male,2005,6060.0,No footnotes
Bahrain,Male,2004,6840.0,No footnotes
Bahrain,Male,2003,7269.0,No footnotes
Bahrain,Male,1999,4418.0,5.0
Bangladesh,Female,2005,304935.0,No footnotes
Bangladesh,Female,2004,259165.0,No footnotes
Bangladesh,Female,2003,280951.0,No footnotes
Bangladesh,Female,2002,273799.0,No footnotes
Bangladesh,Female,2001,297265.0,No footnotes
Bangladesh,Female,2000,234797.0,No footnotes
Bangladesh,Female,1999,228860.0,No footnotes
Bangladesh,Male,2005,606665.0,No footnotes
Bangladesh,Male,2004,562199.0,No footnotes
Bangladesh,Male,2003,596384.0,No footnotes
Bangladesh,Male,2002,581540.0,No footnotes
Bangladesh,Male,2001,581272.0,No footnotes
Bangladesh,Male,2000,491904.0,No footnotes
Bangladesh,Male,1999,480364.0,No footnotes
Barbados,Female,2001,5640.0,No footnotes
Barbados,Female,2000,5838.0,No footnotes
Barbados,Female,1999,4786.0,No footnotes
Barbados,Male,2001,2339.0,No footnotes
Barbados,Male,2000,2236.0,No footnotes
Barbados,Male,1999,2129.0,No footnotes
Belarus,Female,2005,299984.0,No footnotes
Belarus,Female,2004,289517.0,No footnotes
Belarus,Female,2003,278862.0,No footnotes
Belarus,Female,2002,263271.0,No footnotes
Belarus,Female,2001,246071.0,No footnotes
Belarus,Female,2000,231169.0,No footnotes
Belarus,Female,1999,216261.0,No footnotes
Belarus,Male,2005,228524.0,No footnotes
Belarus,Male,2004,217843.0,No footnotes
Belarus,Male,2003,209788.0,No footnotes
Belarus,Male,2002,200273.0,No footnotes
Belarus,Male,2001,191924.0,No footnotes
Belarus,Male,2000,180692.0,No footnotes
Belarus,Male,1999,171086.0,No footnotes
Belgium,Female,2005,211974.0,No footnotes
Belgium,Female,2004,207756.0,No footnotes
Belgium,Female,2003,199796.0,No footnotes
Belgium,Female,2002,194843.0,No footnotes
Belgium,Female,2001,189813.0,No footnotes
Belgium,Female,2000,185908.0,No footnotes
Belgium,Female,1999,185306.0,No footnotes
Belgium,Male,2005,177573.0,No footnotes
Belgium,Male,2004,178354.0,No footnotes
Belgium,Male,2003,174736.0,No footnotes
Belgium,Male,2002,172139.0,No footnotes
Belgium,Male,2001,169452.0,No footnotes
Belgium,Male,2000,169840.0,No footnotes
Belgium,Male,1999,166482.0,No footnotes
Belize,Female,2004,507.0,No footnotes
Belize,Female,2003,342.0,2.0
Belize,Male,2004,215.0,No footnotes
Belize,Male,2003,185.0,3.0
Benin,Female,2001,3920.0,1.0
Benin,Female,2000,3719.0,No footnotes
Benin,Female,1999,3346.0,No footnotes
Benin,Male,2001,15838.0,No footnotes
Benin,Male,2000,15034.0,No footnotes
Benin,Male,1999,12938.0,No footnotes
Bermuda,Female,2002,1080.0,1.0
Bermuda,Female,2001,1068.0,No footnotes
Bermuda,Male,2002,880.0,No footnotes
Bermuda,Male,2001,874.0,No footnotes
Bhutan,Female,2001,639.0,1.0
Bhutan,Female,2000,620.0,1.0
Bhutan,Female,1999,539.0,1.0
Bhutan,Male,2001,1254.0,No footnotes
Bhutan,Male,2000,1217.0,No footnotes
Bhutan,Male,1999,940.0,No footnotes
Botswana,Female,2005,5449.0,No footnotes
Botswana,Female,2004,4735.0,No footnotes
Botswana,Female,2002,3754.0,No footnotes
Botswana,Female,2001,3597.0,No footnotes
Botswana,Female,2000,2684.0,No footnotes
Botswana,Female,1999,2436.0,No footnotes
Botswana,Male,2005,5501.0,No footnotes
Botswana,Male,2004,5462.0,No footnotes
Botswana,Male,2002,4618.0,No footnotes
Botswana,Male,2001,4054.0,No footnotes
Botswana,Male,2000,3648.0,No footnotes
Botswana,Male,1999,3096.0,No footnotes
Brazil,Female,2004,2408720.0,No footnotes
Brazil,Female,2003,2254291.0,No footnotes
Brazil,Female,2002,2022907.0,No footnotes
Brazil,Female,2001,1753483.0,No footnotes
Brazil,Female,2000,1562153.0,No footnotes
Brazil,Female,1999,1365159.0,No footnotes
Brazil,Male,2004,1866307.0,No footnotes
Brazil,Male,2003,1740131.0,No footnotes
Brazil,Male,2002,1559198.0,No footnotes
Brazil,Male,2001,1372262.0,No footnotes
Brazil,Male,2000,1219175.0,No footnotes
Brazil,Male,1999,1091802.0,No footnotes
British Virgin Islands,Female,2005,825.0,1.0
British Virgin Islands,Female,2004,789.0,No footnotes
British Virgin Islands,Female,2003,735.0,1.0
British Virgin Islands,Female,2002,523.0,No footnotes
British Virgin Islands,Female,2001,423.0,No footnotes
British Virgin Islands,Female,2000,540.0,1.0
British Virgin Islands,Female,1999,598.0,No footnotes
British Virgin Islands,Male,2005,375.0,No footnotes
British Virgin Islands,Male,2004,347.0,No footnotes
British Virgin Islands,Male,2003,290.0,No footnotes
British Virgin Islands,Male,2002,235.0,No footnotes
British Virgin Islands,Male,2001,246.0,No footnotes
British Virgin Islands,Male,2000,210.0,No footnotes
British Virgin Islands,Male,1999,258.0,No footnotes
Brunei,Female,2005,3341.0,No footnotes
Brunei,Female,2004,3247.0,No footnotes
Brunei,Female,2003,2941.0,No footnotes
Brunei,Female,2002,2886.0,1.0
Brunei,Female,2001,2830.0,No footnotes
Brunei,Female,2000,2580.0,No footnotes
Brunei,Female,1999,2442.0,No footnotes
Brunei,Male,2005,1682.0,No footnotes
Brunei,Male,2004,1670.0,No footnotes
Brunei,Male,2003,1605.0,No footnotes
Brunei,Male,2002,1627.0,No footnotes
Brunei,Male,2001,1649.0,No footnotes
Brunei,Male,2000,1404.0,No footnotes
Brunei,Male,1999,1263.0,No footnotes
Bulgaria,Female,2005,123940.0,No footnotes
Bulgaria,Female,2004,119890.0,No footnotes
Bulgaria,Female,2003,121709.0,No footnotes
Bulgaria,Female,2002,123261.0,No footnotes
Bulgaria,Female,2001,139081.0,No footnotes
Bulgaria,Female,2000,149671.0,No footnotes
Bulgaria,Female,1999,160614.0,No footnotes
Bulgaria,Male,2005,113969.0,No footnotes
Bulgaria,Male,2004,108578.0,No footnotes
Bulgaria,Male,2003,108804.0,No footnotes
Bulgaria,Male,2002,105133.0,No footnotes
